name,cnpj,city,state
FROOTY COMERCIO E INDUSTRIA DE ALIMENTOS S.A.,68093095000179,ATIBAIA,SP
ESTRELLA DE GALICIA IMPORTACAO E COMERCIALIZACAO DE BEBIDAS E ALIMENTOS LTDA,13492669000190,SAO PAULO,SP
DROGARIA NOVA SABARA LTDA,74683392000177,SAO PAULO,SP
DJ INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,12423658000195,CARPINA,PE
FUGINI ALIMENTOS LTDA,00588458000103,MONTE ALTO,SP
GONCALVES SALLES S A INDUSTRIA E COMERCIO,61365557000110,SAO SEBASTIAO DO PARAISO,MG
ATACADAO S.A.,75315333008274,JUAZEIRO DO NORTE,CE
MONDELEZ BRASIL LTDA,33033028000184,CURITIBA,PR
HELIO SOARES DE ARAUJO,04939545000119,ATIBAIA,SP
CASA DI CONTI LTDA,46842894000591,CANDIDO MOTA,SP
PRODUTOS ALIMENTICIOS EXCELSA LTDA,60879467000185,SAO PAULO,SP
MASTERFOODS BRASIL ALIMENTOS LTDA.,29737368003487,GUARAREMA,SP
VITAO ALIMENTOS LTDA,04869719000114,CURITIBA,PR
BODIPASA BOMBAS DIESEL PAULISTA LTDA,01097783000640,BELO HORIZONTE,MG
NATURAL ONE S.A.,08192116000181,SAO PAULO,SP
DOCE SABOR INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,07175867000127,SAO PAULO,SP
"A Z P R COMERCIO, IMPORTACAO E EXPORTACAO LTDA",05215210000110,CURITIBA,PR
"BELLIZ INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO EIRELI",06940040000108,SERRA,ES
OESTE PAULISTA COMERCIO DE PNEUS EIRELI,32223965000130,RIBEIRAO DO PINHAL,PR
RECKITT BENCKISER ( BRASIL ) LTDA.,59557124000115,SAO PAULO,SP
ATACADAO S.A.,75315333009831,MACEIO,AL
GENERAL BRANDS DO BRASIL DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA,01503284000100,GUARULHOS,SP
SUPERMERCADO FERREIRA & BARTHOLOMEU LTDA,24289970000117,TAQUARITINGA,SP
OLIMPIO JUST CEREAIS LTDA,03451117000180,JACINTO MACHADO,SC
RC INDUSTRIA E COMERCIO DE BEBIDAS EIRELI,11509834000143,CAMPO ALEGRE,AL
INDUSTRIAS REUNIDAS DE BEBIDAS TATUZINHO 3 FAZENDAS LTDA,49629777000109,RIO CLARO,SP
WICKBOLD & NOSSO PAO INDUSTRIAS ALIMENTICIAS LTDA,62691043000118,DIADEMA,SP
PHISALIA PRODUTOS DE BELEZA LTDA,46278537000119,OSASCO,SP
PEPSICO DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA.,02957518000143,SAO PAULO,SP
PAULO ROGERIO DE CARVALHO,41548082000190,PACAJUS,CE
DEICMAR ARMAZENAGEM E DISTRIBUICAO LTDA.,58188756000943,RIO DE JANEIRO,RJ
DISTILLERIE STOCK DO BRASIL LTDA,60606449000120,SAO PAULO,SP
NEUZA & BARBARA COMERCIO DE ALIMENTOS LTDA,02576359000137,SAO PAULO,SP
DROGARIA BARAO DE SAO FRANCISCO LTDA,26255574000102,RIO DE JANEIRO,RJ
INDUSTRIAS ALIMENTICIAS MARATA LTDA.,03861512000130,ITAPORANGA D'AJUDA,SE
ELETROZEMA S/A,26404731008685,ITAPAGIPE,MG
CERVEJARIA INSANA LTDA,13444270000133,PALMAS,PR
ATACADAO S.A.,75315333008002,FORTALEZA,CE
INDUSTRIA DE PRODUTOS ALIMENTICIOS PIRAQUE S A,33040122000160,RIO DE JANEIRO,RJ
DR. OETKER BRASIL LTDA.,61193496000151,SAO PAULO,SP
REFRIGERANTES DO TRIANGULO LIMITADA,25759366000170,UBERLANDIA,MG
RCH ADMINISTRACAO DE BENS LTDA,46445219000103,RANCHARIA,SP
TEIU INDUSTRIA E COMERCIO LTDA,16183527000139,VITORIA DA CONQUISTA,BA
BOMPRECO SUPERMERCADOS DO NORDESTE LTDA,13004510024100,FORTALEZA,CE
ALISPEC INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA.,96468079000159,CERQUEIRA CESAR,SP
RBSM ADMINISTRACAO DE MARCAS S.A.,09074798000190,SAO PAULO,SP
HORIZONTE INDUSTRIA E COMERCIO LTDA,60882354000139,SALTO,SP
"INDUSTRIA BRASILEIRA DE CERVEJAS ESPECIAIS - COMERCIO, IMPORTACAO E EXPORTACAO LTDA",13423976000119,RIBEIRAO PRETO,SP
MITSUI ALIMENTOS LTDA,58128190000107,SANTOS,SP
DROGARIA FRAIBURGO LTDA,82947680000110,FRAIBURGO,SC
HIDRA COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,05262022000143,CURITIBA,PR
FLORMEL INDUSTRIA DE ALIMENTOS LTDA,07880049000125,FRANCA,SP
COCA COLA INDUSTRIAS LTDA,45997418000153,RIO DE JANEIRO,RJ
G B DA SILVA HOTEL,04133593000115,ARAPIRACA,AL
CAMPARI DO BRASIL LTDA,50706019000126,BARUERI,SP
KANITZ 1900 COSMETICOS LTDA,29017852000173,RIO DE JANEIRO,RJ
AMBEV S.A.,07526557000100,SAO PAULO,SP
PIC-ME COMERCIO DE ALIMENTOS E BEBIDAS EM GERAL SA,22266956000172,SAO PAULO,SP
CAVE SAO MIGUEL INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS EIRELI,09040976000162,GARIBALDI,RS
CERVEJARIA SUDBRACK LTDA,04914890000106,BLUMENAU,SC
DOCES DANTAS EIRELI,12649349000138,NATAL,RN
CASAXA COMERCIO DE PRODUTOS NATURAIS LTDA,25141438000110,SAO PAULO,SP
GERDAU ACOS LONGOS S.A.,07358761004075,SAO PAULO,SP
MASTERFOODS BRASIL ALIMENTOS LTDA.,29737368001271,BARRO PRETO,BA
BIOZYME BRASIL INDUSTRIA E COMERCIO DE PRODUTOS ECOEFICIENTES LTDA,07872794000122,SAO PAULO,SP
LEITESOL INDUSTRIA E COMERCIO S A,65979973000160,BRAGANCA PAULISTA,SP
ROCHA & ROCHA ALIMENTOS LTDA,09641406000128,NEVES PAULISTA,SP
BEBIDAS GRASSI DO BRASIL LTDA,01731172000106,TUBARAO,SC
RITTER ALIMENTOS S/A,90286139000136,CACHOEIRINHA,RS
PICINATO & CIA.LTDA.,50493170000123,RIBEIRAO PRETO,SP
3M DO BRASIL LTDA,45985371000108,SUMARE,SP
COOPERATIVA DE COLONIZACAO AGROPECUARIA E INDUSTRIAL PINDORAMA LTDA,12229753000152,CORURIPE,AL
ICOFORT - AGROINDUSTRIAL LTDA,02952466000112,JUAZEIRO,BA
NOVA MIX INDUSTRIAL E COMERCIAL DE ALIMENTOS LTDA,08142803000192,SAO PAULO,SP
LATICINIO CANTO DE MINAS LTDA.,21326756000103,ITUIUTABA,MG
ADM DO BRASIL LTDA,02003402000175,VITORIA,ES
"W PESQUISA, TECNOLOGIA E INDUSTRIA DE ALIMENTOS EIRELI",17385999000137,SAO PAULO,SP
NIELY DO BRASIL INDUSTRIAL LTDA,30153506000100,NOVA IGUACU,RJ
DROGARIA SANTA MARIA LIMITADA,11433984000110,RECIFE,PE
"LM INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA",22399174000101,UBERLANDIA,MG
PIRACAIA INDUSTRIA COMERCIO EXPORTACAO E IMPORTACAO DE BEBIDAS LTDA,03322852000193,PIRACAIA,SP
TRANSPORTADORA SOL I MAR LTDA,01649349000111,DOIS VIZINHOS,PR
GULA SEM PECADO PRODUTOS NATURAIS LTDA,07227019000114,RIO DE JANEIRO,RJ
GADKIN ALIMENTOS S.A.,05456604000241,BARUERI,SP
CAFE FAZENDA SERTAOZINHO LTDA.,07187796000182,BOTELHOS,MG
RESTAURANTE E LANCHONETE DRAGAO CHINES LTDA,12462269000179,ARAPIRACA,AL
APARECIDO ROBERTO CASAGRANDE E OUTRO,08060277000898,MONCOES,SP
CERVEJARIA BAZZO LTDA,10367257000130,PIRACICABA,SP
3 X PRODUTOS QUIMICOS LTDA,54651344000190,SERTAOZINHO,SP
JACQUET BRASIL S.A.,15488031000100,CURITIBA,PR
ENGARRAFAMENTO COROA LTDA,35504133000180,PATOS,PB
COMPANHIA BRASILEIRA DE DISTRIBUICAO,47508411137100,MACEIO,AL
INDUSTRIA DE CONSERVAS LUCA LTDA,44288975000132,MOGI DAS CRUZES,SP
INCODIL INDUSTRIA COMERCIO E DISTRIBUICAO EIRELI,13342907000180,CABEDELO,PB
VENCETEX BEBIDAS LTDA,47765888000117,GUARARAPES,SP
INCRIVEL COMERCIO DE BEBIDAS E ALIMENTOS S.A.,07476698000165,RIO DE JANEIRO,RJ
BRASIL SERVICOS CADASTRAIS LTDA,08509967000105,JAU,SP
DOCE MINEIRO LTDA,22335392000182,CANAPOLIS,MG
CERVEJARIA TRES LOBOS LTDA,04029796000166,BELO HORIZONTE,MG
KOBBER ALIMENTOS LTDA,00353155000101,DIADEMA,SP
FIBRA COMERCIO E INDUSTRIA DE ALIMENTOS E TRANSPORTES EIRELI,10746705000106,EUSEBIO,CE
TONDO S/A.,88618285000170,CAXIAS DO SUL,RS
INDUSTRIA E COMERCIO DE COSMETICOS ESPIRITO SANTO - EIRELI,06280351000180,CARIACICA,ES
DP SUPERMERCADO LTDA,05935528000176,TUBARAO,SC
PANIFICADORA CEPAM LTDA,62168679000180,SAO PAULO,SP
SABAO JUA INDUSTRIA E COMERCIO LTDA,04770484000109,JUAZEIRO DO NORTE,CE
REFRIGERANTES ARCO IRIS LTDA,72077514000156,SAO JOSE DO RIO PRETO,SP
D D GASPAR FABRICACAO DE AGUA DE COCO E SUCOS EIRELI,04983035000149,EXTREMOZ,RN
DROGARIA HONOLULU LTDA,01382624000183,NITEROI,RJ
COMPANHIA ALIMENTICIA DO VALE,04833180000143,LUCENA,PB
APTI ALIMENTOS LTDA,78860863000126,CHAPECO,SC
MARICELIA MEDEIROS LISBOA,10499928000116,PALESTINA,AL
FROHLICH S/A INDUSTRIA E COMERCIO DE CEREAIS,89716195000184,IVOTI,RS
SUPERMERCADO GONCALVES E AMARAL LTDA,19594015000153,MINEIROS,GO
INDUSTRIAL E COMERCIAL MARVI LTDA,53408654000115,OURINHOS,SP
ARCOR DO BRASIL LTDA.,54360656001701,BRAGANCA PAULISTA,SP
GRAN MESTRI ALIMENTOS S/A,05071877000197,GUARACIABA,SC
LUXOTTICA BRASIL PRODUTOS OTICOS E ESPORTIVOS LTDA,04692027000143,SAO PAULO,SP
CEVADA PURA - DISTRIBUIDORA DE BEBIDAS LTDA.,04667152000101,PIRACICABA,SP
SOCOCO SA INDUSTRIAS ALIMENTICIAS,12285276000142,MACEIO,AL
INDAIA BRASIL AGUAS MINERAIS LTDA,00048785000172,FORTALEZA,CE
SANTALUCIA ALIMENTOS LTDA,90471798000495,CAMAQUA,RS
OLIVEIRA & VIEIRA SUPERMERCADOS LTDA,05570552000159,MONTE MOR,SP
ROSOLEN ALIMENTOS - INDUSTRIA E COMERCIO LTDA,03107081000111,CAJOBI,SP
GUARARAPES INDUSTRIAL LTDA,10844041000118,JABOATAO DOS GUARARAPES,PE
HEINZ BRASIL S.A.,50955707000472,NEROPOLIS,GO
JASPE COMERCIO DE BOMBAS COMPRESSORES E PECAS LTDA,15270064000180,MANAUS,AM
MASSA FALIDA CONSERVAS RUBI S A,31667900000110,SAO GONCALO,RJ
COOPERATIVA CERVEJARIA CNS,07652402000110,CURITIBA,PR
JOSIVALDO BUARQUE FERREIRA,00618015000118,SAO LUIS DO QUITUNDE,AL
DOM FABRICACAO E COMERCIO DE BEBIDAS S.A.,18093100000175,ARAQUARI,SC
LOJAS CEM SA,56642960015050,SAO PAULO,SP
LAGUNA INDUSTRIA & COMERCIO DE ALIMENTOS LTDA,00167268000112,PARACURU,CE
CAFE UTAM S A,56012420000142,RIBEIRAO PRETO,SP
ABERDEN ALIMENTOS - INDUSTRIA E COMERCIO EIRELI,07514411000144,VARZEA PAULISTA,SP
INDUSTRIA DE REFRIGERANTES PEQUETITO LTDA,21230479000122,MONTE SANTO DE MINAS,MG
AGROPARR ALIMENTOS LTDA,93607398000100,SENTINELA DO SUL,RS
"KB FOODS - COMERCIO, IMPORTACAO E EXPORTACAO DE ALIMENTOS LTDA.",19199510000168,SAO PAULO,SP
A.J. BAIS DOCES,02702075000140,LIMEIRA,SP
BONDUELLE DO BRASIL PRODUTOS ALIMENTICIOS LTDA.,74299660000151,SAO PAULO,SP
LATICINIOS TIROLEZ LTDA,55885321000102,SAO PAULO,SP
CLESS COMERCIO DE COSMETICOS S.A.,06034119000161,BARUERI,SP
COMPANHIA BRASILEIRA DE DISTRIBUICAO,47508411152681,RIBEIRAO PRETO,SP
CAFE RANCHEIRO AGRO INDUSTRIAL LTDA,02924249000119,ANAPOLIS,GO
JOAQUIM ELIDIO DA SILVA,76745165000154,SARANDI,PR
"SEMENTES ESPERANCA COMERCIO, IMP. E EXPORTACAO LTDA",55859656000318,JABOTICABAL,SP
PROCTER & GAMBLE INDUSTRIAL E COMERCIAL LTDA,01358874001230,SAO PAULO,SP
IVEL INDUSTRIA DE PERFUMES E COSMETICOS LTDA,30066989000105,NOVA IGUACU,RJ
ARBOR BRASIL INDUSTRIA DE BEBIDAS LTDA,29588019000182,TERESOPOLIS,RJ
MEDIAN INDUSTRIA E COMERCIO LIMITADA,43079656000154,PIEDADE,SP
HARIBO BRASIL INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,21072669000169,BAURU,SP
SECRETARIA MUNICIPAL DE SAUDE DE BREVES- SEMSA,02967936000200,BREVES,PA
JASMINE COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,81727414000119,CURITIBA,PR
BEIERSDORF INDUSTRIA E COMERCIO LTDA.,01786983000368,ITATIBA,SP
FRANKINI INDUSTRIA E COMERCIO LTDA.,04253784000110,FRANCA,SP
CERVEJARIA BERGGREN INDUSTRIA E COMERCIO DE BEBIDAS LTDA,11878934000147,NOVA ODESSA,SP
BLACK BIRD - VIAGENS E TURISMO LTDA,08463357000118,BRASILIA,DF
INDUSTRIA E COMERCIO DE BEBIDAS VENDRANELLI LTDA,44433738000118,BIRIGUI,SP
HACO ETIQUETAS LTDA,82645862000136,BLUMENAU,SC
TICO ROSA INDUSTRIA DE BEBIDAS LTDA,10860226000116,BRAGANCA PAULISTA,SP
MSV - COMERCIO DE MOVEIS E DECORACOES LTDA,17417153000131,JUNDIAI,SP
CEREALISTA MATO GROSSO LTDA,34744995000117,ALTO ALEGRE DOS PARECIS,RO
NEUGEBAUER ALIMENTOS S/A,87315834000174,ARROIO DO MEIO,RS
ORGANICA INDUSTRIA E COMERCIO DE PRODUTOS NATURAIS LTDA,68088392000126,SANTANA DE PARNAIBA,SP
CAFE TRES CORACOES S.A,17467515000107,SANTA LUZIA,MG
DROGARIA E PERFUMARIA RODRIGUES CANDIDO LTDA,04161500000166,UBA,MG
SELVA SIUL INDUSTRIA E COMERCIO DE CONFECCOES EIRELI,73225880000178,LUIZ ALVES,SC
IGREJA UNIVERSAL DO REINO DE DEUS,29744778028873,CONTAGEM,MG
LATICINIO MARIANNA LTDA,40499907000161,ALAGOINHAS,BA
CERAS JOHNSON LTDA,33122466000119,RIO DE JANEIRO,RJ
SEPETIBA TECON S/A,02394276000208,ITAGUAI,RJ
GTEX BRASIL INDUSTRIA E COMERCIO S.A. EM RECUPERACAO JUDICIAL,43623792000163,GUARULHOS,SP
MOINHO ARAPONGAS S/A,76125244000162,ARAPONGAS,PR
CERVEJARIA CAMPO BOM LTDA,17960315000183,CAMPO BOM,RS
PEREIRA MANANCIAIS COMERCIO EXTERIOR EIRELI,15352562000171,NILOPOLIS,RJ
DROGARIA C&A LTDA,13560956000190,COCALZINHO DE GOIAS,GO
DROGARIA MAIS POR MENOS LTDA,22711459000136,GOIANIA,GO
VALE FERTIL INDUSTRIAS ALIMENTICIAS LTDA,84869593000117,SAO JOSE DOS PINHAIS,PR
MOINHO PAULISTA SA,33390527000129,SAO PAULO,SP
COMPANHIA BRASILEIRA DE DISTRIBUICAO,47508411110687,FORTALEZA,CE
DTC TRADING EIRELI,05448850000170,SAO PAULO,SP
CLASSY BRANDS IMPORTACAO E COMERCIO DE COSMETICOS LTDA,11983461000148,SERRA,ES
MOINHOS DE TRIGO INDIGENA S A MOTRISA,88447032000180,PORTO ALEGRE,RS
SEARA ALIMENTOS LTDA,02914460000150,ITAJAI,SC
LARIMEL INDUSTRIA E COMERCIO LTDA,96828256000160,FEIRA DE SANTANA,BA
CONSERVAS ODERICH SA,97191902000194,SAO SEBASTIAO DO CAI,RS
DROGARIA AMPARO LTDA,08528090000108,AMPARO DA SERRA,MG
REFRIGERANTES DEVITO LTDA,00700155000130,CATANDUVA,SP
MOINHO PETINHO INDUSTRIA E COMERCIO LTDA,10808491000155,RECIFE,PE
KI BARATO EIRELI,32860231000676,PENEDO,AL
NOBEL DO BRASIL LTDA,01202633000145,CAJAMAR,SP
CASA SUICA INDUSTRIA ALIMENTICIA LTDA,00441885000164,JANDIRA,SP
MARITUCS ALIMENTOS LIMITADA.,49882913000178,MARILIA,SP
J. IVO C. MAIA INDUSTRIA E COMERCIO DE DOCES E SUCOS LTDA,09478256000183,BARREIRA,CE
PORTEL TELECOMUNICACOES LTDA,95368296000104,PINHAIS,PR
SHIBATA COMERCIO E ATACADO DE PRODUTOS EM GERAL LTDA,20276483000240,MOGI DAS CRUZES,SP
BETTANIN S.A.,89724447000117,ESTEIO,RS
TAIAMA AGUAS MINERAIS LTDA,55815823000167,LEME,SP
CENCOSUD BRASIL COMERCIAL LTDA,39346861029909,UBERLANDIA,MG
SIDARTHA PRODUCOES CINEMATOGRAFICAS EIRELI,11421308000208,MACEIO,AL
BRILHOTEX - INDUSTRIA DE PRODUTOS DE LIMPEZA LTDA,16867985000197,SERTAOZINHO,SP
LOJAS RENNER S.A.,92754738016166,FORTALEZA,CE
WAL MART BRASIL LTDA,00063960006212,FRANCA,SP
MASTERFOODS BRASIL ALIMENTOS LTDA.,29737368001433,MOGI MIRIM,SP
CONFECCOES VANELISE LTDA,91879718000155,CRICIUMA,SC
"GOLD & KO INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO DE ALIMENTOS LTDA.",20422248000158,SAO PAULO,SP
"VASCONCELOS INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO LTDA.",03647755000170,ARAGUARI,MG
RONALDO CAETANO ELIAS,01119744000192,GUARULHOS,SP
KIMBERLY -CLARK BRASIL INDUSTRIA E COMERCIO DE PRODUTOS DE HIGIENE LTDA,02290277000121,SAO PAULO,SP
HYPERA S.A.,02932074000191,SAO PAULO,SP
CGM - DROGARIA LTDA,16878675001140,NAZARE PAULISTA,SP
MARAJOARA INDUSTRIA DE LATICINIOS LTDA,24849580000154,HIDROLANDIA,GO
COOPERATIVA AGROPECUARIA LTDA DE UBERLANDIA,25632183000199,UBERLANDIA,MG
DEON COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA,02527485000100,CASCAVEL,PR
GRUPO RSX COMERCIO DE CAFE LTDA,14534272000186,SAO PAULO,SP
"SEGAFREDO ZANETTI (BRASIL). COMERCIALIZACAO E DISTRIBUICAO DE CAFE, S.A.",65126039000103,CONTAGEM,MG
MAGRELA INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,08610632000189,LAURO DE FREITAS,BA
UTILEO COMERCIO DE UTILIDADES EIRELI,13971479000155,RIO DE JANEIRO,RJ
CARGILL AGRICOLA S A,60498706000157,SAO PAULO,SP
ALIMENTOS TIA SONIA LTDA,08385685000143,VITORIA DA CONQUISTA,BA
YAKULT S/A. INDUSTRIA E COMERCIO,60723061007707,SAO BERNARDO DO CAMPO,SP
"BIOTEC COSMETICOS, INDUSTRIA E COMERCIO LTDA",03956345000101,UBERLANDIA,MG
BRASIL ESPRESSO COMERCIO ATACADISTA LTDA.,01703285000190,SAO PAULO,SP
PRODUTOS ALIMENTICIOS ARAPONGAS SA PRODASA,75404814000352,ARAPONGAS,PR
GOYA INDUSTRIA E COMERCIO DE AGUA MINERAL LTDA,02428437000156,BOM JESUS,GO
INDUSTRIA E COMERCIO DE LATICINIOS VALE DOS BURITIS LTDA,22086045000163,BURITIS,MG
ELMO CALCADOS S/A,17170416005039,VITORIA,ES
WEWISH BEBIDAS SAUDAVEIS S.A.,23313184000145,BARUERI,SP
CERVEJARIA TRIESTE LTDA,21345997000191,POTIRENDABA,SP
REALENGO ALIMENTOS LTDA,07032688000130,TURVO,SC
PHYTONATUS NUTRACEUTICA LTDA,03512483000100,SOROCABA,SP
